"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Colombia","COL","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48727.9","50437","52514.6","55880.5","56785","59313.3","58646.8","64190.4","64443.9","55397.9","58341.7","58942.3","56767","56108.9","56112.1","57636.9","57688.7","59176.7","59782.2","62008.6","63564.3","69097.1","69695.2","76863.2","79201.5","80227.7","82684.5","74989.1","78592.3","81039.1","","","",
"Comoros","COM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.3","68.5","70.1","73.1","74.7","77.8","79.4","84.1","92.1","96.8","104.7","109.5","109.5","139.3","152.8","146.9","172.1","111.7","114","140.3","167.6","150","161.1","193.7","173.2","187.2","219.2","280.6","304.1","320.2","","","",
"Cabo Verde","CPV","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.6","101.3","108.1","110.9","113.7","123.6","140.8","145.1","159.7","188.8","218","245","278.5","307.1","334.4","441.1","502.4","459.7","475.4","510","540","567.1","529","506","500.3","503.4","546","587.8","612.6","645.3","","","",
"Costa Rica","CRI","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2871.2","3061.6","4148.5","4180.9","4850.5","4809.8","4526.9","4493.9","5015.3","5034","4946.7","5420.6","5523.2","5797.4","5943.5","6273.8","6556.9","7601.5","7515.2","7198.3","7105.4","7430.4","7446.5","7778.3","7831.9","7537.9","8080.4","8255.1","8371.1","8238.1","","","",
"Caribbean small states","CSS","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27596.708","27880.972","29777.882","26779.862","25278.283","25828.781","26608.994","27493.486","29021.224","29229.893","28733.42","30489.16","31612.16","34869.56","35513.86","37041.36","40888.67","41582.58","39126.09","47901.37","38612.17","40734.68","42063.95","40508.28","40102.359","39313","37272.556","36387.4","37877.5","37851.6","","","",
"Cuba","CUB","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35621.6","27418","21771.8","20152.3","21719.4","23175.5","25203.4","27448.2","27112.5","27998.5","28353.1","27465.1","26423.5","25628.6","25364.8","26317.9","26780.2","27677.5","26747.1","26979.6","28110","27586.3","28690.9","28869.7","26688.7","29212.4","27174.2","26242.1","26710.7","25910.9","","","",
"Curacao","CUW","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4591.2","5109","5479.7","5735.8","5977.9","5848","6211.3","6304.9","6610","6871.1","7127.7","6992.1","7168.5","7834.1","7778.8","7900.8","7999.4","8307.1","8490.7","8276.1","7898.4","7634.6","7098.8","6427.7","6811.8","6851.9","7219.2","7361.2","7198.6","7193.2","","","",
"Czechia","CZE","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150203.1","136901.7","134140.7","130982.2","124707.2","125179.8","126740.5","124791.4","118920.8","111945.8","123167.5","122721.4","118527.5","122765.7","123437.5","119994.9","120598.3","123624.7","118305.1","111165.1","112251.3","109172.8","106073.4","101150.7","97510.1","99140.8","101730","101831.8","100899.7","96285.2","","","",
